# Created: Sat Aug 02 14:50:10 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(2.0, 60.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 70.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 80.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(2.0, 60.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
2.0	90.0	8.0	107.7200	129.8768	120.8537	104.6849	115.9633	97.9501	115.3653	107.7814	117.1679	111.4715	
2.0	100.0	8.0	108.0100	130.5360	120.8537	109.4385	117.2935	97.9501	115.3653	107.7814	121.0194	111.4715	
4.0	50.0	8.0	70.7900	78.5658	75.1764	79.4329	75.3071	80.7529	88.4032	80.2600	81.6640	89.9623	
4.0	60.0	8.0	77.8000	78.5659	75.1764	80.3152	76.6373	80.7529	88.4032	80.2600	80.2266	89.9623	
4.0	70.0	8.0	83.3100	78.5661	75.1764	81.2273	77.9675	80.7529	88.4032	80.2600	81.1334	89.9623	
4.0	80.0	8.0	100.9200	78.5663	75.1764	82.1703	79.2977	80.7529	89.3497	80.2600	84.1060	89.9623	
4.0	90.0	8.0	91.8300	78.5666	75.1764	83.1471	80.6279	80.7529	89.3497	80.2600	88.4974	89.9623	
4.0	100.0	8.0	85.9700	78.5669	75.1764	84.1631	81.9581	80.7529	89.3497	80.2600	93.5203	89.9623	
1.0	50.0	9.0	117.2500	132.0620	143.6923	107.2643	127.8616	153.0432	131.2660	152.4071	108.5827	123.9986	
1.0	60.0	9.0	126.0200	132.2236	143.6923	112.4227	129.1918	153.0432	131.2660	152.4071	114.0185	127.5626	
1.0	70.0	9.0	126.8500	132.3821	143.6923	119.6568	130.5220	153.0432	131.2660	152.4071	120.6955	127.5626	
1.0	80.0	9.0	132.9400	132.5322	143.6923	129.8047	131.8522	153.0432	137.6272	152.4071	127.1996	134.9287	
1.0	90.0	9.0	146.7000	132.6696	143.6923	143.8446	133.1824	153.0432	141.0411	152.4071	132.0830	134.9287	
1.0	100.0	9.0	157.0200	132.7916	143.6923	162.7160	134.5126	153.0432	141.0411	152.4071	134.3871	134.9287	
2.0	50.0	9.0	81.5500	127.7776	120.8537	93.2793	110.1939	97.9501	109.9233	107.7814	95.1799	111.4715	
2.0	60.0	9.0	82.3500	128.4599	120.8537	94.8160	111.5241	97.9501	109.9233	107.7814	98.1008	111.4715	
2.0	70.0	9.0	84.9600	129.1439	120.8537	96.6460	112.8543	97.9501	109.9233	107.7814	102.9388	111.4715	
2.0	80.0	9.0	99.6300	129.8049	120.8537	98.9269	114.1845	97.9501	109.9233	107.7814	108.6196	111.4715	
2.0	90.0	9.0	110.9300	130.4223	120.8537	101.8947	115.5147	97.9501	115.3653	107.7814	113.8757	111.4715	
2.0	100.0	9.0	120.7400	130.9803	120.8537	105.8961	116.8449	97.9501	115.3653	107.7814	117.7051	111.4715	
4.0	50.0	9.0	74.2000	78.5660	75.1764	78.2504	74.8585	80.7529	88.4032	80.2600	83.5222	89.9623	
